index	size	group	group_name	ext	name
150	6260	7	Group8	WAV	BANGER.WAV
151	37001	7	Group8	WAV	BOMB.WAV
152	9989	7	Group8	WAV	BOOM.WAV
153	4445	7	Group8	WAV	CLOSE.WAV
154	3432	7	Group8	WAV	CREAK.WAV
155	6433	7	Group8	WAV	CREAK2.WAV
156	18312	7	Group8	WAV	CREAKDOA.WAV
157	9943	7	Group8	WAV	CRUNCH.WAV
158	5374	7	Group8	WAV	DOASHUT3.WAV
159	5020	7	Group8	WAV	DOORSHUT.WAV
160	16780	7	Group8	WAV	ELECTRIX.WAV
161	8898	7	Group8	WAV	ELECTRO.WAV
162	11919	7	Group8	WAV	ERROR.WAV
163	30610	7	Group8	WAV	EXPLOS3.WAV
164	13744	7	Group8	WAV	FASTARW.WAV
165	3158	7	Group8	WAV	Flamer.wav
166	10017	7	Group8	WAV	FOOTSTEP.WAV
167	11484	7	Group8	WAV	FOOTSTP3.WAV
168	27599	7	Group8	WAV	GLSMASH.WAV
169	8429	7	Group8	WAV	HEALER.WAV
170	2149	7	Group8	WAV	HITPOINT.WAV
171	4023	7	Group8	WAV	KNOCK.WAV
172	7201	7	Group8	WAV	KYUDO.WAV
173	3038	7	Group8	WAV	LATCH.WAV
174	42494	7	Group8	WAV	MAGIC.WAV
175	5252	7	Group8	WAV	METAL.WAV
176	19686	7	Group8	WAV	MIZU.WAV
177	44249	7	Group8	WAV	MONSTER.WAV
178	21718	7	Group8	WAV	MONSTER2.WAV
179	50985	7	Group8	WAV	MONSTER3.WAV
180	5478	7	Group8	WAV	NINJAHIT.WAV
181	54500	7	Group8	WAV	NOIZEHIT.WAV
182	52	7	Group8	WAV	NOSOUND.WAV
183	15823	7	Group8	WAV	OBAKEDOA.WAV
184	6320	7	Group8	WAV	PAKU.WAV
185	13869	7	Group8	WAV	POWERUP.WAV
186	5899	7	Group8	WAV	PUNCH.WAV
187	5256	7	Group8	WAV	REFRESH1.WAV
188	7977	7	Group8	WAV	ROPEWHIP.WAV
189	8377	7	Group8	WAV	SHOT1.WAV
190	5198	7	Group8	WAV	SLUDGE.WAV
191	15236	7	Group8	WAV	SNAREHIT.WAV
192	2717	7	Group8	WAV	SWORD.WAV
193	7153	7	Group8	WAV	SWORD3.WAV
194	5193	7	Group8	WAV	SWORDHAI.WAV
195	46954	7	Group8	WAV	THUNDER.WAV
196	17996	7	Group8	WAV	THUNDER2.WAV
197	62084	7	Group8	WAV	WARPOUT.WAV
198	4849	7	Group8	WAV	WHACK.WAV
199	6079	7	Group8	WAV	WIBBLE.WAV
200	3403	7	Group8	WAV	ZAP64.WAV
201	4647	8	Group9	WAV	ZAPPER.WAV
202	2178	8	Group9	BMP	ANM06.BMP
203	5026	8	Group9	BMP	ANM01.BMP
204	3086	8	Group9	BMP	ANM02.BMP
205	3040	8	Group9	BMP	ANM03.BMP
206	3914	8	Group9	BMP	ANM04.BMP
207	4335	8	Group9	BMP	ANM05.BMP
208	2913	8	Group9	BMP	ANM00.BMP
209	2933	8	Group9	BMP	ANM07.BMP
210	2328	8	Group9	BMP	ANM08.BMP
211	4648	8	Group9	BMP	ANM09.BMP
212	3099	8	Group9	BMP	ANM10.BMP
213	2525	8	Group9	BMP	ANM11.BMP
214	3009	8	Group9	BMP	ANM12.BMP
215	5731	8	Group9	BMP	ANM13.BMP
216	5624	8	Group9	BMP	ANM14.BMP
217	6772	8	Group9	BMP	ANM15.BMP
218	2302	8	Group9	BMP	ANM16.BMP
219	12673	8	Group9	BMP	ANM17.BMP
220	3427	8	Group9	BMP	ANM18.BMP
221	3256	8	Group9	BMP	ANM19.BMP
222	2257	8	Group9	BMP	ANM20.BMP
223	3828	8	Group9	BMP	ANM21.BMP
224	4075	8	Group9	BMP	ANM22.BMP
225	6517	8	Group9	BMP	ANM23.BMP
226	2808	8	Group9	BMP	ANM24.BMP
227	7975	8	Group9	BMP	ANM25.BMP
228	4337	8	Group9	BMP	ANM26.BMP
229	6854	8	Group9	BMP	ANM27.BMP
230	3763	8	Group9	BMP	ANM28.BMP
231	1435	8	Group9	BMP	ANM29.BMP
232	4321	8	Group9	BMP	ANM30.BMP
233	3349	8	Group9	BMP	ANM31.BMP
234	12640	8	Group9	BMP	ANM32.BMP
235	2225	8	Group9	BMP	ANM33.BMP
236	4617	8	Group9	BMP	ANM34.BMP
237	3248	8	Group9	BMP	ANM35.BMP
238	4355	8	Group9	BMP	ANM36.BMP
239	2514	8	Group9	BMP	ANM37.BMP
240	3238	8	Group9	BMP	ANM38.BMP
241	2414	8	Group9	BMP	ANM39.BMP
242	8078	8	Group9	BMP	ANM40.BMP
243	7404	9	Group10	BMP	ANM41.BMP
244	172	10	Group11	TXT	readme.txt
245	67984	10	Group11	BMP	ENEMY1.BMP
246	84996	10	Group11	BMP	ENEMY0.BMP
247	95503	10	Group11	BMP	ENEMY2.BMP
248	74892	10	Group11	BMP	ENEMY3.BMP
249	82602	10	Group11	BMP	ENEMY4.BMP
250	72451	10	Group11	BMP	ENEMY5.BMP
251	44195	10	Group11	BMP	ENEMY6.BMP
252	18503	10	Group11	BMP	ENEMY7.BMP
253	73	11	Group12	TXT	readme.txt
254	163	11	Group12	TXT	readme.txt
255	182094	0	Group1	EXE	game_engl_123.exe
